DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
01/04/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/08/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/10/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/16/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/17/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/18/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/22/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/23/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/26/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/27/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,undefined,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,10,0,10,0,10,0,10,0,9,0
SUB TOTAL PENALTY,0,,0,,0,,0,,0,
TOTAL PENALTY,0,,,,,,,,,
